Last Update,Neighbourhood,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area,External Area,Total Area,Rate,Price,Discounted amount,Launch day Price Incl.VAT,Status,Orientation/View
10-Feb-23,Sea Point,Station House,Berman Brothers,11th,1101,2 BED,75,31,106,68396,7250000,,,SOLD,Cnr SP/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,11th,1102,2 BED,70,17,87,71839,6250000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,620,3 BED,104,24,128,69141,8850000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,101,STUDIO,27,7,34,46912,1595000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,102,STUDIO,24,5,29,50000,1450000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,103,STUDIO,24,9,33,46970,1550000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,104,STUDIO,31,22,53,46226,2450000,,,SOLD,Cnr CT/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,105,STUDIO,26,6,32,57813,1850000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,106,STUDIO,26,6,32,57813,1850000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,107,STUDIO,26,6,32,57813,1850000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,108,STUDIO,26,6,32,57813,1850000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,109,STUDIO,26,6,32,57813,1850000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,110,STUDIO,26,6,32,57813,1850000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,111,STUDIO,26,6,32,57813,1850000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,112,STUDIO,38,9,47,52128,2450000,,,SOLD,F Sea Point
